
---- PROCESS STARTING ON: Wed, 06 Mar 2013 14:08:23 +0000 ----

<configparse.ParameterDict instance at 0x2466950>
To be detected: vision/colorblob/targets4.pkl
{'outputres': '160x120', 'video_source': 'naovideo', 'trainable': 'True', 'nao': '129.125.178.226', 'denoise_value': 5, 'port': 'Vision_51218', 'host': 'localhost', 'camera': 1, 'frequency': 10, 'targets': 'vision/colorblob/targets4.pkl', 'inputres': '160x120'}
[2013-03-06 15:08:23,552][Borg.Brain.Util.IOPoll] INFO: Using epoll for IO Polls
[2013-03-06 15:08:23,552][Borg.Brain.Util.IOPoll] INFO: Set epoll to Edge Triggered mode
[2013-03-06 15:08:23,552][Borg.Brain.Util.IOManager] DEBUG: Registering disconnected IOWrapper
[2013-03-06 15:08:23,553][Borg.Brain.Util.IOManager] INFO: IOManager started
True
Number of target colors: 4
[2013-03-06 15:08:23,553][Borg.Brain.Util.IOManager] DEBUG: Registering disconnected IOWrapper
[2013-03-06 15:08:23,652][Borg.Brain.Util.IOManager] DEBUG: Registering IOWrapper with file descriptor 7
[2013-03-06 15:08:23,752][Borg.Brain.Util.IOManager] DEBUG: Registering IOWrapper with file descriptor 8
Using mouse clicking.
[2013-03-06 15:08:23,891][Borg.Brain.Vision.BlobDetector] WARNING: You did not set the list of recognizable objects. Use self.set_known_objects([list]) to do that
[2013-03-06 15:08:23,893][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF10\nsS'height'\np5\nI6\nsS'width'\np6\nI3\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI4\nsS'x'\nI1\ns."
[2013-03-06 15:08:23,893][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI4\nsS'x'\nI1\nsS'height'\np5\nI6\nsS'surface'\np6\nF10\nsS'width'\np7\nI3\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_yellow'\np11\ns."
[2013-03-06 15:08:23,893][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF18.5\nsS'height'\np5\nI3\nsS'width'\np6\nI14\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI116\nsS'x'\nI60\ns."
[2013-03-06 15:08:23,893][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF20\nsS'height'\np5\nI5\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI98\nsS'x'\nI120\ns."
[2013-03-06 15:08:23,894][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF489.5\nsS'height'\np5\nI31\nsS'width'\np6\nI45\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI88\nsS'x'\nI114\ns."
[2013-03-06 15:08:23,894][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF108\nsS'height'\np5\nI27\nsS'width'\np6\nI11\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI49\nsS'x'\nI148\ns."
[2013-03-06 15:08:23,894][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF25\nsS'height'\np5\nI6\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI45\nsS'x'\nI64\ns."
[2013-03-06 15:08:23,894][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF97.5\nsS'height'\np5\nI13\nsS'width'\np6\nI14\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI41\nsS'x'\nI20\ns."
